Barcode,Brands,Product name,Generic name,Serving quantity,Serving qty unit,Serving size,Calories,Protein,Fats,Saturated fats,Monounsaturated fats,Polyunsaturated fats,Trans fats,Carbs,Total sugars,Added sugars,Fiber,Sodium,Potassium,Cholesterol
0011210007703,"Mcilhenny Co.,Tabasco",Tabasco® brand chipotle pepper sauce,N/A,15,ml,1 portion (15 ml),38,0,0,0,0,0,0,10,10,10,0,2.4,0,0
0013000001243,HEINZ,Tomato Ketchup,SALSA DE TOMATE KETCHUP,12.0,g,12 g,117,0,0,0,0,0,0,33.3,0,0,0,0.942,0,0
0041224722002,Roland,Roland Ramen with Chicken,N/A,28,g,28g,464,0,21.4,8.93,0,0,0,60.7,3.57,0,3.57,1.71,0,0
0681170300208,Brad's Organic,Brad's Organic Crunchy Peanut Butter,N/A,32,g,32 grams,594,0,50,7.81,0,0,0,21.9,6.25,0,9.38,0,0.625,0
0722776020012,Splenda,Splenda Original,"enzuldante de mesa en polvo a base de dextrosa, maltodextrina y 1.2% de sucralosa.",1.0,g,1 sobre 1 g,0,0,0,0,0,0,0,1,1,0,0,0,0,0
3017620429484,"Ferrero, Nutella",Nutella,Pâte à tartiner aux noisettes et au cacao,15.0,g,15g,539,0,30.9,10.6,0,0,0,57.5,56.3,0,0,0.0428,0,0
3560070387274,Carrefour,Salsa de soja,Sauce au soja.,N/A,N/A,N/A,63,0,0,0,0,0,0,12,0.8,0,0.5,5.16,0,0
4600682401476,baltika,Baltika,N/A,N/A,N/A,N/A,35,0,0,0,0,0,0,6,3.7,0,0,0,0,0
5000267023601,Johnnie Walker,Black Label,blended scotch whisky.,30.0,ml,30 ml,22.3,0,0,0,0,0,0,0,0,0,0,0,0,0
75032715,Corona,Corona Extra,N/A,355.0,ml,355 ml,42,0,0,0,0,0,0,4,0.2,0,0,0,0,0
7622300829643,TERRABUSI,Galletas Lincoln,Galletitas dulces,30,g,30g,440,0,13,5.6,0,0,0,73,22,0,1.8,0.311,0,0
7622300833909,N/A,galletitas pepito,N/A,33,g,33g,153,0,5.7,1.5,0,0,0,22,10,0,0.9,0.047751999999999996,0,0
7790040111004,Bagley,chocolinas,N/A,N/A,N/A,N/A,454,0,17,7.9,0,0,0,67,20,0,4.1,0.1096,0,0
7790040444102,Bagley,Milk Caramel Spread Filled Sandwich Cookies With Chocolate Flavored Coating,N/A,47,g,47 g (1 PIECE),426,0,17.02,6.38,0,0,3.19,61.7,40.43,0,1.1,0.10769599999999999,0,0.021
7790040704909,"Arcor,Serranas",Serranas Sandwich,galletitas crackers.,28.0,g,5 galletitas 28 g,446,0,15,6.8,6,1,0.7,67,1,0,2.5,0.558,0,0.026000000000000002
7790040711105,Arcor,Diversión,galletitas dulces surtidas.,30.0,g,3 galletitas 30 g,417,0,13.3,4.17,0,0,0,66.7,28.3,28.3,2.5,0.183,0,0.0167
7790040929906,"Bagley,Chocolinas",Chocolinas Original,galletas dulces sabor chocolate.,3.3,g,3.3 g,454,0,17,7.9,0,0,0,67,20,0,0,0.24,0,0
7790040930407,Bagley,Amor,N/A,N/A,N/A,N/A,464,0,16,7.7,0,0,0,72,27,0,1.6,0.32,0,0
7790040931305,Bagley,Sonrisas,N/A,N/A,N/A,N/A,412,0,13,5.4,0,0,0,67,24,0,0,0.852,0,0
7790045000778,Granix,Copos integrales con pasas de uva,N/A,30.0,g,1 serving (30 g),330,0,1.33,0.333,0.333,0.667,0,66.7,11,2.33,16,0.21,0,0
7790045001188,"Granix,Frutigran",Frutigran Avena y Pasas,galletitas dulces con avena y pasas de uva.,30.0,g,2 galletas (30 g),436,0,14,1.5,11,1.3,0,70,17,9.2,4.1,0.27,0,0
7790045001607,Granix,Copos de maíz azucarados Skarchitos,N/A,31.0,g,31g,372,0,0.3,0.1,0,0,0,87,0,0,2.1,0.356,0,0
7790070410320,Lucchetti,Bread Crumb,N/A,30,g,4 Tbsp (30 g),333,0,0,0,0,0,0,73.33,0,0,0,0.28300000000000003,0,0
7790070410634,Exquisita,Gelatina sabor frutilla,N/A,6,g,6 g,367,0,0,0,0,0,0,61.7,61.7,0,0,1.15,0,0
7790070411549,Lucchetti,Crumbled Bread Coating,N/A,30,g,4 Tbsp (30 g),333,0,0,0,0,0,0,73.33,0,0,0,0.28300000000000003,0,0
7790070507105,Cruz de Malta,Yerba mate elaborada con palo,N/A,N/A,N/A,N/A,22,0,0,0,0,0,0,3.2,0,0,0,0,0,0
7790070936479,Arlistan,Café,N/A,1.5,g,"1,5 g",4,0,0,0,0,0,0,1.1,0,0,0,0,0,0
7790080026733,Tholem,Tholem Tentaciones Light Clásico,"queso saint paulin semigraso fundido para untar, reducido en contenido graso, libre de gluten.",50.0,g,5 cucharadas 50 g,127,0,8.3,5.3,2,0.2,0,2,0,0,0,0.8,0,0.025
7790080031850,San Cor,Dulce de Leche de Campo,N/A,N/A,N/A,N/A,306,0,6.4,4,0,0,0,55,55,0,0,0.054,0,0
7790080031867,SanCor,Dulce de Leche,"dulce de leche, libre de gluten.",20,g,1 cuchara 20 g,305,0,6.5,4,0,0,0,55,0,0,0,0.135,0,0
7790080037913,SanCor,N/A,Fórmula láctea completa para niños mayores de un año,250.0,ml,250 ml,69,0,3,1.6,0,0,0.14,7.7,0,0,0,0.036576,0.09,0.0073
7790080065107,"Yogs,SanCor",Yogs Frutilla,Yogurt,180.0,g,180g,88.7,0,2.3,1.4,0,0,0,17,0,0,0,0.057912,0,0.0076
7790080065145,"Yogs,SanCor",Yogs Firme Natural,Yogur,190.0,g,190 g,66.3,0,3,1.84,0,0,0.105,5.79,0,0,0,0.0758,0,0
7790127780987,Vanoli,Chimichurri,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,35.6,0,0
7790150830857,La Virginia,Chocolino,Chocolate en polvo,20.0,g,20 g,390,0,2.5,1.5,0,0,0,85,0,0,0,0.075,0,0
7790202000221,Pennisi,Caballa al natural,Caballa al natural,60,g,60 g de producto escurrido (3 cucharadas de sopa),218,0,14.8,4,0,0,0,0,0,0,0,0.128,0,0
7790244000241,San Ignacio,For Export Dulce De Leche (lata 1000 Grs),N/A,N/A,N/A,N/A,333.33333333333,0,6.9444444444444,4.1666666666667,0,0,0,61.111111111111,61.111111111111,0,0,0.15277777777778,0,0
7790244000401,San Ignacio,Doce de Leite,N/A,N/A,N/A,N/A,333,0,8.2,5.8,0,0,0,58,42,0,0.5,0.12,0,0
7790244001576,fr:Confiture de lait,Confiture de lait,N/A,20,g,20 g,312,0,5,3.3,0,0,0,61.8,47.3,0,0,0.092,0,0
7790272001005,Natura,Aceite de girasol,N/A,13.0,ml,13 ml,831,0,92.3,9.23,0,0,0,0,0,0,0,0,0,0
7790272001029,"AGD, Natura",Aceite puro de girasol,Aceite de girasol,13.0,g,1 portion (13 g),831,0,92.3,0,0,0,0,0,0,0,0,0,0,0
7790315000422,Villavicencio,Agua mineral 2 lt,Agua mineral natural de manantial sin gas,1000,ml,1 L,0,0,0,0,0,0,0,0,0,0,0,0.011,0,0
7790315058201,villavicencio,Villavicencio Aventura,N/A,1000.0,ml,1l,0,0,0,0,0,0,0,0,0,0,0,0.011,0,0
7790326003078,N/A,Yerba maté,N/A,N/A,N/A,N/A,21,0,0,0,0,0,0,0,0,0,0,0.0024,0,0
7790380015031,Flow Cereal,Granola Con Semillas,N/A,46,g,46 g,370,0,10.9,4.35,0,0,0,69.6,21.7,21.7,2.17,0.0522,0.0891,0
7790387001693,Taragui,Green Tea,N/A,1.5,g,0.053 ONZ (1.5 g),0,0,0,0,0,0,0,0,0,0,0,0,0,0
7790387014327,Unión,Original,"yerba mate elaborada con palo, libre de gluten.",50.0,g,50 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7790387015515,La Merced,Yerba Mate La Merced Con Palo De Monte X 500 GR.,N/A,N/A,N/A,N/A,61,0,0,0,0,0,0,12,0,0,0,0.048,0,0
7790387015522,la merced,La Merced Barbacua Yerba Mate,N/A,N/A,N/A,N/A,61,0,0,0,0,0,0,12,0,0,0,0.0488,0,0
7790387100310,Taragui,YERBA MATE,N/A,N/A,N/A,N/A,61,0,0,0,0,0,0,12,0,0,0,0.0488,0,0
7790387110234,Taragüi,Taragui Yerba Mate X500GR,N/A,50.0,g,1 serving (50 g),20,0,0,0,0,0,0,2,0,0,1,0.012,0.09,0
7790387113235,Taragüi,Yerba Mate C / Palo / Naranja / Mandarina Y Pomelo 500GR Taragui Paq,N/A,N/A,N/A,N/A,60,0,0,0,0,0,0,0,0,0,0,4.88,0,0
7790387113242,Taragui,Yerba Mate Maracuya,N/A,N/A,N/A,N/A,61,0,0,0,0,0,0,12,0,0,0,0.122,0,0
7790387120356,La Merced,"La merced, yerba mate con palo tea",N/A,50,g,1.77 ONZ (50 g),60,0,0,0,0,0,0,12,0,0,0,0.12,0,0
7790387712186,Taragui,Yerba Mate Naranja,N/A,N/A,N/A,N/A,61,0,0,0,0,0,0,0,0,0,0,0.0488,0,0
7790387712445,Taragui,"Taragui, daydreams herbal teas",N/A,1,g,0.035 ONZ (1 g),0,0,0,0,0,0,0,0,0,0,0,0,0,0
7790407031013,Aguila,Chocolate Semiamargo,"chocolate semiamargo aromatizado con vainillina y etil vainillina, libre de gluten.",21.0,g,1 1/2 barritas (21 g),469,0,24,13,8.7,0,0,60,53,0,6.6,0.022,0,0
7790411000012,Rosamonte,Yerba mate edicion especial,N/A,N/A,N/A,N/A,21,0,0,0,0,0,0,0,0,0,0,0,0,0
7790411000029,N/A,Rosamonte- yerba mate especial,N/A,N/A,N/A,N/A,21,0,0,0,0,0,0,0,0,0,0,0.24,0,0
7790411000050,Rosamonte,"Rosamonte Yerba Mate, 500g Bag",N/A,N/A,N/A,N/A,21,0,0,0,0,0,0,4.7,0,0,0,0,0,0
7790411001507,N/A,Yerba Rosamonte Plus x 500 G,N/A,N/A,N/A,N/A,21,0,0,0,0,0,0,4.7,0,0,0,0.24,0,0
7790411001545,N/A,Yerba Mate,N/A,N/A,N/A,N/A,21,0,0,0,0,0,0,0,0,0,0,0.0024,0,0
7790412000455,Leiva,Mini chía,N/A,N/A,N/A,N/A,416.67,0,16.67,2,0,0,0,56.67,0,0,9,0,0,0
7790480000166,N/A,Yerba Mate,N/A,N/A,N/A,N/A,7.5,0,0,0,0,0,0,3.3,0,0,0,0,0,0
7790480000371,N/A,La Tranquera Yerba Mate,N/A,N/A,N/A,N/A,16,0,0,0,0,0,0,3.4,0,0,0,0.0024,0,0
7790503000326,Dos Hermanos,Tostaditas de arroz sin sal agregada,N/A,N/A,N/A,N/A,367,0,0,0,0,0,0,84,0,0,4,0.048,0,0
7790538009516,Arrocitas,Arrocitas 3 Cereales,"galletas de arroz integral yamani, trigo y avena, 3 cereales.",26.0,g,4 unidades/bolachas 26 g,384,0,3.2,0.6,1.2,1.4,0,76,2.5,0,6,0.537,0,0
7790580279158,"Arcor, bon o bon",Wafer bon o bon Leche,obleas rellenas bañadas con chocolate con leche.,N/A,N/A,N/A,546,0,33,15,0,0,0,50,49,0,0,2,0,0
7790580503109,Arcor,Arcor Dulce De Batata,N/A,N/A,N/A,N/A,241,0,0,0,0,0,0,60,28,0,0,0.0112,0,0
